v2.00	LanBox-LCX-1	0	0	2	0	0	0	255	253
0	192								
1	192								
2	192								
3	192								
4	192								
5	192								
6	191								
7	191								
8	191								
9	190								
10	190								
11	190								
12	189								
13	189								
14	188								
15	188								
16	187								
17	187								
18	186								
19	185								
20	184								
21	184								
22	183								
23	182								
24	181								
25	180								
26	179								
27	178								
28	177								
29	176								
30	175								
31	174								
32	173								
33	172								
34	171								
35	170								
36	169								
37	167								
38	166								
39	165								
40	164								
41	162								
42	161								
43	160								
44	158								
45	157								
46	155								
47	154								
48	152								
49	151								
50	150								
51	148								
52	147								
53	145								
54	144								
55	142								
56	140								
57	139								
58	137								
59	136								
60	134								
61	133								
62	131								
63	130								
64	128								
65	126								
66	125								
67	123								
68	122								
69	120								
70	119								
71	117								
72	116								
73	114								
74	112								
75	111								
76	109								
77	108								
78	106								
79	105								
80	104								
81	102								
82	101								
83	99								
84	98								
85	96								
86	95								
87	94								
88	92								
89	91								
90	90								
91	89								
92	87								
93	86								
94	85								
95	84								
96	83								
97	82								
98	81								
99	80								
100	79								
101	78								
102	77								
103	76								
104	75								
105	74								
106	73								
107	72								
108	72								
109	71								
110	70								
111	69								
112	69								
113	68								
114	68								
115	67								
116	67								
117	66								
118	66								
119	66								
120	65								
121	65								
122	65								
123	64								
124	64								
125	64								
126	64								
127	64								
128	64								
129	64								
130	64								
131	64								
132	64								
133	64								
134	65								
135	65								
136	65								
137	66								
138	66								
139	66								
140	67								
141	67								
142	68								
143	68								
144	69								
145	69								
146	70								
147	71								
148	72								
149	72								
150	73								
151	74								
152	75								
153	76								
154	77								
155	78								
156	79								
157	80								
158	81								
159	82								
160	83								
161	84								
162	85								
163	86								
164	87								
165	89								
166	90								
167	91								
168	92								
169	94								
170	95								
171	96								
172	98								
173	99								
174	101								
175	102								
176	104								
177	105								
178	106								
179	108								
180	109								
181	111								
182	112								
183	114								
184	116								
185	117								
186	119								
187	120								
188	122								
189	123								
190	125								
191	126								
192	128								
193	130								
194	131								
195	133								
196	134								
197	136								
198	137								
199	139								
200	140								
201	142								
202	144								
203	145								
204	147								
205	148								
206	150								
207	151								
208	152								
209	154								
210	155								
211	157								
212	158								
213	160								
214	161								
215	162								
216	164								
217	165								
218	166								
219	167								
220	169								
221	170								
222	171								
223	172								
224	173								
225	174								
226	175								
227	176								
228	177								
229	178								
230	179								
231	180								
232	181								
233	182								
234	183								
235	184								
236	184								
237	185								
238	186								
239	187								
240	187								
241	188								
242	188								
243	189								
244	189								
245	190								
246	190								
247	190								
248	191								
249	191								
250	191								
251	192								
252	192								
253	192								
254	192								
255	192								
