v2.00	LanBox-LCX-1	0	0	2	0	0	0	255	254
0	128								
1	130								
2	131								
3	133								
4	134								
5	136								
6	137								
7	139								
8	140								
9	142								
10	144								
11	145								
12	147								
13	148								
14	150								
15	151								
16	152								
17	154								
18	155								
19	157								
20	158								
21	160								
22	161								
23	162								
24	164								
25	165								
26	166								
27	167								
28	169								
29	170								
30	171								
31	172								
32	173								
33	174								
34	175								
35	176								
36	177								
37	178								
38	179								
39	180								
40	181								
41	182								
42	183								
43	184								
44	184								
45	185								
46	186								
47	187								
48	187								
49	188								
50	188								
51	189								
52	189								
53	190								
54	190								
55	190								
56	191								
57	191								
58	191								
59	192								
60	192								
61	192								
62	192								
63	192								
64	192								
65	192								
66	192								
67	192								
68	192								
69	192								
70	191								
71	191								
72	191								
73	190								
74	190								
75	190								
76	189								
77	189								
78	188								
79	188								
80	187								
81	187								
82	186								
83	185								
84	184								
85	184								
86	183								
87	182								
88	181								
89	180								
90	179								
91	178								
92	177								
93	176								
94	175								
95	174								
96	173								
97	172								
98	171								
99	170								
100	169								
101	167								
102	166								
103	165								
104	164								
105	162								
106	161								
107	160								
108	158								
109	157								
110	155								
111	154								
112	152								
113	151								
114	150								
115	148								
116	147								
117	145								
118	144								
119	142								
120	140								
121	139								
122	137								
123	136								
124	134								
125	133								
126	131								
127	130								
128	128								
129	126								
130	125								
131	123								
132	122								
133	120								
134	119								
135	117								
136	116								
137	114								
138	112								
139	111								
140	109								
141	108								
142	106								
143	105								
144	104								
145	102								
146	101								
147	99								
148	98								
149	96								
150	95								
151	94								
152	92								
153	91								
154	90								
155	89								
156	87								
157	86								
158	85								
159	84								
160	83								
161	82								
162	81								
163	80								
164	79								
165	78								
166	77								
167	76								
168	75								
169	74								
170	73								
171	72								
172	72								
173	71								
174	70								
175	69								
176	69								
177	68								
178	68								
179	67								
180	67								
181	66								
182	66								
183	66								
184	65								
185	65								
186	65								
187	64								
188	64								
189	64								
190	64								
191	64								
192	64								
193	64								
194	64								
195	64								
196	64								
197	64								
198	65								
199	65								
200	65								
201	66								
202	66								
203	66								
204	67								
205	67								
206	68								
207	68								
208	69								
209	69								
210	70								
211	71								
212	72								
213	72								
214	73								
215	74								
216	75								
217	76								
218	77								
219	78								
220	79								
221	80								
222	81								
223	82								
224	83								
225	84								
226	85								
227	86								
228	87								
229	89								
230	90								
231	91								
232	92								
233	94								
234	95								
235	96								
236	98								
237	99								
238	101								
239	102								
240	104								
241	105								
242	106								
243	108								
244	109								
245	111								
246	112								
247	114								
248	116								
249	117								
250	119								
251	120								
252	122								
253	123								
254	125								
255	126								
